DayOfWeek,Origin_Airport,Scheduled_Departure,Departure_Time,Dep_Delay,Scheduled_Arrival,Arrival_Time,Arrival_Delay,Arr_Del_morethan15,Cancelled,Diverted,Distance,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,Top_Carriers
5,BOS,600,554,18.0,711,707,-4.0,0,0,0,187.0,8.0,0.0,0.0,0,0,1
6,,600,554,22.0,711,703,-8.0,0,0,0,187.0,13.0,0.0,,0,0,1
1,BOS,600,601,1.0,711,706,,0,0,0,187.0,6.0,,,0,0,1
2,BOS,600,556,-4.0,711,709,,0,0,0,187.0,0.0,0.0,0.0,0,0,1
3,BOS,600,552,-8.0,711,659,-12.0,0,0,0,,4.0,0.0,0.0,0,0,1
4,BOS,600,555,-5.0,711,716,5.0,0,0,0,187.0,3.0,0.0,0.0,0,0,1
5,BOS,600,556,19.0,711,705,-6.0,0,0,0,187.0,5.0,0.0,0.0,0,0,1
6,BOS,600,556,8.0,711,710,-1.0,0,0,0,187.0,5.0,0.0,0.0,0,0,1
1,BOS,600,555,,711,701,-10.0,0,0,0,187.0,0.0,0.0,0.0,0,0,1
2,BOS,600,549,-11.0,711,722,11.0,0,0,0,187.0,0.0,0.0,0.0,0,0,1
3,BOS,600,553,-7.0,711,703,-8.0,0,0,0,187.0,1.0,,0.0,0,0,1
4,BOS,600,640,40.0,711,752,41.0,1,0,0,187.0,12.0,0.0,1.0,0,0,1
5,BOS,600,600,27.0,711,719,8.0,0,0,0,187.0,12.0,0.0,0.0,0,0,1
6,BOS,600,555,14.0,711,653,-18.0,0,0,0,187.0,5.0,0.0,0.0,0,0,1
1,BOS,600,555,1178.0,711,710,,0,1,0,187.0,410.0,0.0,0.0,0,0,1
2,BOS,600,556,-4.0,711,701,-10.0,0,0,0,187.0,0.0,0.0,0.0,0,0,1
3,BOS,600,551,-9.0,711,659,-12.0,0,0,0,,10.0,0.0,0.0,0,0,1
4,BOS,600,745,105.0,711,858,107.0,1,0,0,187.0,33.0,0.0,2.0,0,0,1
5,BOS,600,553,16.0,711,706,-5.0,0,0,0,187.0,4.0,0.0,0.0,0,0,1
6,BOS,600,621,44.0,711,740,29.0,1,0,0,187.0,12.0,0.0,8.0,0,0,1
3,BOS,600,553,-7.0,711,709,-2.0,0,0,0,187.0,0.0,0.0,0.0,0,0,1
